Image,F1,Jaccard,Recall,Precision
2951.png,0.9666170529449288,0.9353909465020576,0.9869735128093791,0.9470833333333334
2269.png,0.0,0.0,0.0,0.0
1555.png,0.903943377148635,0.8247232472324724,1.0,0.8247232472324724
2968.png,0.8272727272727273,0.7054263565891473,0.7611524163568774,0.9059734513274337
948.png,0.8539944903581268,0.7451923076923077,0.747588424437299,0.9957173447537473
262.png,0.9324618736383442,0.8734693877551021,0.9694224235560589,0.8982161594963274
2090.png,0.7643742953776775,0.6186131386861314,0.6952827424553178,0.8487124463519313
2285.png,0.5478221823080377,0.3772418058132344,0.3865652724968314,0.9399075500770416
1262.png,0.8829337094499295,0.7904040404040404,1.0,0.7904040404040404
2098.png,0.0,0.0,0.0,0.0
1662.png,0.9257950530035336,0.8618421052631579,0.9225352112676056,0.9290780141843972
1739.png,0.9485060394151303,0.9020556227327691,0.9959946595460614,0.9053398058252428
557.png,0.7842364532019704,0.6450567260940032,0.6627810158201499,0.9601930036188179
2718.png,0.8790020790020789,0.7841246290801187,0.8524193548387097,0.9072961373390558
2172.png,0.12410071942446042,0.06615532118887824,0.06615532118887824,1.0
2729.png,0.8375,0.7204301075268817,0.7204301075268817,1.0
361.png,0.918676388109927,0.8495850622406639,0.8495850622406639,1.0
2647.png,0.0,0.0,0.0,0.0
2489.png,0.8993477877666138,0.8171044202434337,0.8223726627981948,0.9922209257098406
822.png,0.7784577723378213,0.6372745490981964,0.9085714285714286,0.6809421841541756
2305.png,0.8065757257782441,0.6758499413833529,0.6778365667254557,0.9956822107081175
2655.png,0.6962391513982642,0.5340236686390533,0.5340236686390533,1.0
2957.png,0.8347039473684211,0.7163020465772759,0.7435897435897436,0.9512652296157451
1194.png,0.8964451313755797,0.8123249299719888,0.8285714285714286,0.9764309764309764
2198.png,0.9113070539419087,0.837065269175798,0.866370808678501,0.9611597374179431
2497.png,0.0,0.0,0.0,0.0
1867.png,0.9244249726177437,0.8594704684317719,0.8656410256410256,0.9917743830787309
2345.png,0.876057254391672,0.7794500723589002,0.9270223752151463,0.8304039469626888
1561.png,0.9173272933182333,0.8472803347280334,0.995085995085995,0.8508403361344538
3035.png,0.9235408141287961,0.8579431772709084,0.950354609929078,0.8981985756179305
2789.png,0.563338301043219,0.3921161825726141,0.3922324340349837,0.9992447129909365
593.png,0.9540000000000001,0.9120458891013384,0.9120458891013384,1.0
2190.png,0.8083158497043677,0.6782970550576184,0.6833279587229926,0.9892623716153128
12.png,0.9771970279272354,0.9554108216432866,0.9916796671866874,0.9631313131313132
580.png,0.9740566037735849,0.9494252873563218,0.9694835680751174,0.9786729857819905
2006.png,0.8382185001903311,0.7214941022280472,0.742914979757085,0.9615720524017467
1902.png,0.9011416079669663,0.8200707338638373,0.8310931899641577,0.9840848806366048
2825.png,0.8993630573248407,0.8171296296296297,0.9121447028423773,0.8869346733668342
730.png,0.9147851420247634,0.8429530201342282,0.9804839968774395,0.8573378839590444
3010.png,0.47857142857142854,0.3145539906103286,0.31504702194357365,0.995049504950495
1616.png,0.8505747126436781,0.74,0.7872340425531915,0.925
1590.png,0.856441717791411,0.7489270386266095,0.9432432432432433,0.7842696629213484
1087.png,0.0,0.0,0.0,0.0
702.png,0.849426063470628,0.7382629107981221,0.7488095238095238,0.9812792511700468
2263.png,0.9804924848097218,0.9617314930991218,0.9745708836617928,0.9864864864864865
479.png,0.861646234676007,0.7569230769230769,0.7909967845659164,0.9461538461538461
2411.png,0.8028713418001103,0.6706642066420664,0.6706642066420664,1.0
3029.png,0.0,0.0,0.0,0.0
1539.png,0.9121373109930526,0.8384673178061608,0.8617760617760618,0.96875
3001.png,0.17162872154115588,0.09386973180076628,0.09404990403071017,0.98
2503.png,0.8765556676757486,0.7802395209580838,0.915671117357695,0.8406451612903226
2403.png,0.8416801292407109,0.7266387726638772,0.774145616641902,0.9221238938053097
2429.png,0.8080451658433311,0.6779159265837774,0.6779159265837774,1.0
1795.png,0.7860696517412935,0.6475409836065574,0.6781115879828327,0.9349112426035503
2182.png,0.935131195335277,0.8781656399726215,0.886049723756906,0.9899691358024691
